customer_id,customer_name,gender,age,email,phone,country,state,city,loyalty_member
CUST0001,Customer_1,Female,46,customer1@mail.com,446319832129,UK,Wales,Cardiff,Yes
CUST0002,Customer_2,Female,39,customer2@mail.com,449740898294,UK,Wales,Swansea,Yes
CUST0003,Customer_3,Male,46,customer3@mail.com,448729463010,UK,England,Manchester,Yes
CUST0004,Customer_4,Female,43,customer4@mail.com,18826612235,USA,Texas,Houston,No
CUST0005,Customer_5,Male,49,customer5@mail.com,916337960866,India,Tamil Nadu,Coimbatore,No
CUST0006,Customer_6,Male,28,customer6@mail.com,449038553145,UK,Scotland,Edinburgh,No
CUST0007,Customer_7,Female,25,customer7@mail.com,19813004049,USA,New York,Buffalo,No
CUST0008,Customer_8,Female,38,customer8@mail.com,18429986101,USA,Texas,Austin,Yes
CUST0009,Customer_9,Female,46,customer9@mail.com,918381213221,India,Maharashtra,Mumbai,No
CUST0010,Customer_10,Male,49,customer10@mail.com,18048406634,USA,New York,Rochester,Yes
CUST0011,Customer_11,Female,21,customer11@mail.com,918867134364,India,Maharashtra,Mumbai,Yes
CUST0012,Customer_12,Female,29,customer12@mail.com,918947794881,India,Tamil Nadu,Chennai,No
CUST0013,Customer_13,Female,52,customer13@mail.com,447921525677,UK,Scotland,Edinburgh,No
CUST0014,Customer_14,Female,43,customer14@mail.com,917853006708,India,Delhi,New Delhi,Yes
CUST0015,Customer_15,Male,45,customer15@mail.com,16031803508,USA,California,Los Angeles,No
CUST0016,Customer_16,Male,28,customer16@mail.com,17976405994,Canada,Quebec,Quebec City,No
CUST0017,Customer_17,Male,57,customer17@mail.com,18637903940,Canada,Quebec,Quebec City,Yes
CUST0018,Customer_18,Female,49,customer18@mail.com,448683910433,UK,Scotland,Glasgow,No
CUST0019,Customer_19,Female,53,customer19@mail.com,16652740265,Canada,British Columbia,Vancouver,Yes
CUST0020,Customer_20,Male,48,customer20@mail.com,17344816114,Canada,Quebec,Montreal,Yes
CUST0021,Customer_21,Male,36,customer21@mail.com,18408372715,Canada,Ontario,Toronto,Yes
CUST0022,Customer_22,Male,54,customer22@mail.com,16872738853,USA,Texas,Austin,No
CUST0023,Customer_23,Male,30,customer23@mail.com,18273015460,USA,Texas,Houston,No
CUST0024,Customer_24,Male,21,customer24@mail.com,19091560951,Canada,British Columbia,Vancouver,Yes
CUST0025,Customer_25,Male,33,customer25@mail.com,19649189050,USA,New York,Buffalo,No
CUST0026,Customer_26,Female,34,customer26@mail.com,16337695088,Canada,Ontario,Toronto,No
CUST0027,Customer_27,Male,49,customer27@mail.com,19493834671,USA,Texas,Houston,Yes
CUST0028,Customer_28,Male,20,customer28@mail.com,19018655764,Canada,Ontario,Toronto,No
CUST0029,Customer_29,Female,56,customer29@mail.com,17394251363,Canada,Ontario,Ottawa,No
CUST0030,Customer_30,Male,31,customer30@mail.com,18179608711,USA,New York,Rochester,No
CUST0031,Customer_31,Male,37,customer31@mail.com,16063333532,Canada,British Columbia,Vancouver,No
CUST0032,Customer_32,Female,46,customer32@mail.com,448860062372,UK,Wales,Swansea,Yes
CUST0033,Customer_33,Female,43,customer33@mail.com,449246650376,UK,Wales,Cardiff,No
CUST0034,Customer_34,Male,23,customer34@mail.com,919590928183,India,Delhi,Delhi,Yes
CUST0035,Customer_35,Female,21,customer35@mail.com,448211969949,UK,Wales,Swansea,Yes
CUST0036,Customer_36,Male,41,customer36@mail.com,18118819315,USA,California,San Diego,Yes
CUST0037,Customer_37,Male,28,customer37@mail.com,19413048825,USA,New York,Buffalo,No
CUST0038,Customer_38,Male,46,customer38@mail.com,17467265189,USA,New York,New York,No
CUST0039,Customer_39,Male,35,customer39@mail.com,19224431548,Canada,Ontario,Ottawa,Yes
CUST0040,Customer_40,Female,52,customer40@mail.com,16828060548,USA,California,Los Angeles,No
CUST0041,Customer_41,Male,34,customer41@mail.com,918496239098,India,Tamil Nadu,Chennai,Yes
CUST0042,Customer_42,Female,33,customer42@mail.com,19362067140,Canada,Ontario,Ottawa,Yes
CUST0043,Customer_43,Male,37,customer43@mail.com,918217460547,India,Maharashtra,Nagpur,Yes
CUST0044,Customer_44,Male,26,customer44@mail.com,16454031813,USA,Texas,Houston,No
CUST0045,Customer_45,Male,62,customer45@mail.com,19049006161,USA,New York,Rochester,Yes
CUST0046,Customer_46,Male,33,customer46@mail.com,449140972244,UK,Scotland,Edinburgh,No
CUST0047,Customer_47,Female,36,customer47@mail.com,449875747299,UK,Wales,Cardiff,Yes
CUST0048,Customer_48,Female,32,customer48@mail.com,17450786068,USA,New York,Buffalo,Yes
CUST0049,Customer_49,Male,41,customer49@mail.com,917770461836,India,Delhi,Delhi,No
CUST0050,Customer_50,Male,48,customer50@mail.com,448625532974,UK,Scotland,Edinburgh,Yes
CUST0051,Customer_51,Female,63,customer51@mail.com,917805985120,India,Maharashtra,Mumbai,Yes
CUST0052,Customer_52,Female,40,customer52@mail.com,17670173582,Canada,Ontario,Toronto,No
CUST0053,Customer_53,Male,41,customer53@mail.com,17927770130,USA,California,San Diego,No
CUST0054,Customer_54,Female,64,customer54@mail.com,448519806523,UK,Scotland,Edinburgh,Yes
CUST0055,Customer_55,Male,38,customer55@mail.com,449903260137,UK,Wales,Swansea,No
CUST0056,Customer_56,Male,45,customer56@mail.com,916096257097,India,Maharashtra,Mumbai,Yes
CUST0057,Customer_57,Female,24,customer57@mail.com,16644390313,USA,New York,Buffalo,No
CUST0058,Customer_58,Male,27,customer58@mail.com,446696341581,UK,Scotland,Glasgow,No
CUST0059,Customer_59,Male,44,customer59@mail.com,446621786831,UK,Scotland,Edinburgh,Yes
CUST0060,Customer_60,Female,30,customer60@mail.com,917317779148,India,Maharashtra,Pune,Yes
CUST0061,Customer_61,Female,56,customer61@mail.com,449188703667,UK,Wales,Cardiff,No
CUST0062,Customer_62,Male,25,customer62@mail.com,446596955664,UK,Scotland,Edinburgh,No
CUST0063,Customer_63,Female,54,customer63@mail.com,449048110804,UK,Scotland,Edinburgh,Yes
CUST0064,Customer_64,Male,28,customer64@mail.com,18122291540,USA,Texas,Austin,No
CUST0065,Customer_65,Male,40,customer65@mail.com,18566839187,Canada,Ontario,Toronto,Yes
CUST0066,Customer_66,Female,58,customer66@mail.com,16471721269,Canada,British Columbia,Victoria,Yes
CUST0067,Customer_67,Female,38,customer67@mail.com,17153558157,USA,New York,New York,No
CUST0068,Customer_68,Female,54,customer68@mail.com,18425696771,USA,Texas,Austin,No
CUST0069,Customer_69,Female,32,customer69@mail.com,918332107993,India,Maharashtra,Mumbai,No
CUST0070,Customer_70,Female,56,customer70@mail.com,16473043733,Canada,Quebec,Montreal,Yes
CUST0071,Customer_71,Male,30,customer71@mail.com,916985747255,India,Tamil Nadu,Chennai,Yes
CUST0072,Customer_72,Female,43,customer72@mail.com,17178126146,USA,Texas,Dallas,Yes
CUST0073,Customer_73,Male,60,customer73@mail.com,19397594470,Canada,British Columbia,Vancouver,Yes
CUST0074,Customer_74,Female,44,customer74@mail.com,917131437144,India,Karnataka,Mysuru,Yes
CUST0075,Customer_75,Female,36,customer75@mail.com,919753005799,India,Maharashtra,Nagpur,Yes
CUST0076,Customer_76,Female,18,customer76@mail.com,17712885635,Canada,Quebec,Quebec City,No
CUST0077,Customer_77,Female,27,customer77@mail.com,446623617484,UK,Scotland,Edinburgh,No
CUST0078,Customer_78,Female,20,customer78@mail.com,447839673606,UK,Scotland,Glasgow,No
CUST0079,Customer_79,Female,53,customer79@mail.com,17933673225,Canada,Ontario,Toronto,No
CUST0080,Customer_80,Male,39,customer80@mail.com,918034955171,India,Delhi,New Delhi,No
CUST0081,Customer_81,Female,34,customer81@mail.com,18098438340,Canada,Ontario,Toronto,No
